id,level,scope,skippable,description
large_file_detection,3,repo,false,"Large file detection – Check for tooling that detects/prevents overly large files (language-agnostic). PASS if ANY ONE of the following exists: 1) Git hooks checking file size or line count (husky, pre-commit, custom scripts). 2) CI job that flags files over a threshold. 3) .gitattributes with LFS f"
tech_debt_tracking,3,repo,false,"Tech debt tracking – Tooling tracks technical debt markers. Common approaches: TODO/FIXME scanner in CI, TODO comments required to link to issues (e.g., TODO(TICKET-123) enforcement), language-specific linter rules (eslint-plugin-no-unsanitized-todo, pylint fixme), SonarQube/SonarCloud (has built-in"
build_cmd_doc,2,repo,false,"Build command documented – README/AGENTS.md lists 'npm run build' (TS) or 'pip install -r requirements.txt' (Py)"
deps_pinned,2,repo,false,"Dependencies pinned – lockfile committed (package-lock.json, yarn.lock, pnpm-lock.yaml) for TS; requirements.txt with == pins or poetry.lock for Py"
vcs_cli_tools,2,repo,false,"VCS CLI tools available – Check if `gh` (GitHub CLI), `glab` (GitLab CLI), or equivalent version control CLI is installed and authenticated. Run `gh auth status` or `glab auth status` to verify. This is a prerequisite for many Level 3+ checks including branch protection, CI metrics, deployment frequ"
automated_pr_review,2,repo,true,"Automated PR review generation – Check for automation that generates code review comments on PRs. If `gh` or `glab` CLI is available and authenticated, run `gh pr list --state all --limit 10 --json reviews,comments` to verify bots/automation are posting review comments (not just status checks). Look"
agentic_development,3,repo,false,"Agentic development detected – Look for evidence that AI agents are part of the development workflow. Check: 1) Git history for agent co-authorship: `git log --format='%an|||%ae|||%s|||%b' -100` and search for AI coding agent identifiers in author/co-author fields. Common patterns include AI tool na"
fast_ci_feedback,4,repo,true,"Fast CI feedback – CI pipeline provides feedback in under 10 minutes. If `gh` or `glab` CLI is available and authenticated, run `gh pr list --state merged --limit 20 --json statusCheckRollup`. For each PR, find all status checks in statusCheckRollup array and calculate CI duration from earliest star"
build_performance_tracking,4,repo,true,"Build performance tracking – Build duration is measured and optimized. If `gh` or `glab` CLI is available and authenticated, use `gh run view --log` or `gh pr view --json statusCheckRollup` to analyze build step timing. Also check for: 1) Build caching configured (turbo cache, nx cache, webpack cach"
deployment_frequency,4,repo,true,"Frequent deployments – System deploys multiple times per week with automation. If `gh` or `glab` CLI is available and authenticated, run BOTH: 1) `gh release list --limit 30` to check for release-based deploys. 2) For workflow-based deploys, first list workflows with `ls .github/workflows/ | grep -i"
single_command_setup,3,repo,false,"Single command setup – README or AGENTS.md or SKILLS documents a single command (or short sequence) that takes you from fresh clone to running dev server. Example: 'npm install && npm run dev' or 'make dev'."
feature_flag_infrastructure,4,repo,false,"Feature flag infrastructure – LaunchDarkly, Statsig, Unleash, GrowthBook, or custom feature flag system is configured. Enables agents to ship changes behind toggles, reducing risk of agent-authored code affecting all users immediately."
release_notes_automation,3,repo,false,"Release notes automation – Automated release notes or changelog generation exists. Does not need to run on every commit - can be periodic (weekly/release-based) via semantic-release, standard-version, changesets, GitHub releases, or custom scripts. Ensures agent contributions are documented."
progressive_rollout,4,repo,true,"Progressive rollout – Canary deployments, percentage-based rollouts, or ring deployments are configured. Allows agent-shipped changes to reach a small percentage of users first, catching issues before full rollout. Skip if not an infra repo."
rollback_automation,4,repo,true,"Rollback automation – One-click or automated rollback capability exists and is documented. If an agent ships a bad change, the system can quickly revert without manual intervention or deep investigation. Skip if not an infra based repo."
monorepo_tooling,2,repo,true,"Monorepo tooling – For monorepos: check for multi-package/module/workspace configuration that defines boundaries between components. Examples by ecosystem: JS/TS (npm/yarn/pnpm workspaces, Turborepo, Nx, Lerna), Python (pants, poetry multi-package), Go (go.work), Rust (Cargo workspaces), Java (Maven"
version_drift_detection,3,repo,true,"Version drift detection – Check for tooling that detects dependency version drift across monorepo packages. Look for: 1) syncpack, manypkg for JS/TS monorepos. 2) Renovate/Dependabot with grouping rules. 3) Custom CI script comparing package versions. 4) Monorepo tooling with version enforcement (Nx"
release_automation,3,repo,false,"Release automation – Check for automated release/deployment pipelines. Look for: 1) CD pipeline in .github/workflows (deploy on merge to main). 2) semantic-release or similar configured. 3) GitOps setup (ArgoCD, Flux manifests). 4) Automated Docker image publishing. 5) Release-please or changesets a"
dead_feature_flag_detection,3,repo,true,"Dead feature flag detection – Check for tooling that detects stale/dead feature flags. Look for: 1) Feature flag platform with stale flag detection (LaunchDarkly code references, Statsig stale detection). 2) Custom scripts that grep for flag usage and compare to flag definitions. 3) CI job that repo"
agents_md,2,repo,false,"AGENTS.md exists at repo root – Check for AGENTS.md file in repository root directory. File should document essentials for autonomous agents like: npm/bun/yarn scripts (TS/JS), pip/venv/poetry setup (Python), build commands, test commands, development workflow, and project-specific conventions. Veri"
readme,1,repo,false,"README.md exists at repo root with setup/usage instructions."
